Practice ID,Provider ID,Observation Month,Variable,Value
1,15,5,Encounters,225
1,15,5,RVUs,520.38
1,15,6,Encounters,222
1,15,6,RVUs,362.1
1,16,1,Encounters,150
1,16,1,RVUs,239.2
1,16,2,Encounters,158
1,16,2,RVUs,273.32
1,16,3,Encounters,180
1,16,3,RVUs,458.51
1,16,4,Encounters,236
1,16,4,RVUs,648.79
1,16,5,Encounters,218
1,16,5,RVUs,536.22
1,16,6,Encounters,218
1,16,6,RVUs,453.96
1,17,1,Encounters,113
1,17,1,RVUs,256
1,17,2,Encounters,103
1,17,2,RVUs,257.8
1,17,3,Encounters,101
1,17,3,RVUs,167.66
1,17,4,Encounters,126
1,17,4,RVUs,368.12
1,17,5,Encounters,144
1,17,5,RVUs,403.82
1,17,6,Encounters,129
1,17,6,RVUs,187.82
1,18,1,Encounters,43
1,18,1,RVUs,100.84
1,18,2,Encounters,51
1,18,2,RVUs,138.59
1,18,3,Encounters,57
1,18,3,RVUs,129.26
1,18,4,Encounters,56
1,18,4,RVUs,162.49
1,18,5,Encounters,47
1,18,5,RVUs,136.76
1,18,6,Encounters,46
1,18,6,RVUs,126.02
1,19,1,Encounters,198
1,19,1,RVUs,467.46
1,19,2,Encounters,122
1,19,2,RVUs,253.86
1,19,3,Encounters,235
1,19,3,RVUs,364.56
1,19,4,Encounters,168
1,19,4,RVUs,314.3
1,19,5,Encounters,215
1,19,5,RVUs,378.75
1,19,6,Encounters,218
1,19,6,RVUs,586.9
1,20,1,Encounters,43
1,20,1,RVUs,84.46
1,20,2,Encounters,31
1,20,2,RVUs,84.76
1,20,3,Encounters,41
1,20,3,RVUs,74.05
1,20,4,Encounters,29
1,20,4,RVUs,56.88
1,20,5,Encounters,22
1,20,5,RVUs,51.6
1,20,6,Encounters,40
1,20,6,RVUs,69.58
1,21,1,Encounters,75
1,21,1,RVUs,216.32
1,21,2,Encounters,89
1,21,2,RVUs,190.98
1,21,3,Encounters,99
1,21,3,RVUs,280.75
1,21,4,Encounters,91
1,21,4,RVUs,196.09
1,21,5,Encounters,86
1,21,5,RVUs,124.87
1,21,6,Encounters,106
1,21,6,RVUs,304.17
1,22,1,Encounters,122
1,22,1,RVUs,243.64
1,22,2,Encounters,108
1,22,2,RVUs,300.38
1,22,3,Encounters,106
1,22,3,RVUs,241.62
1,22,4,Encounters,85
1,22,4,RVUs,132.17
1,22,5,Encounters,112
1,22,5,RVUs,309.82
1,22,6,Encounters,106
1,22,6,RVUs,276.22
1,23,1,Encounters,344
1,23,1,RVUs,901.98
1,23,2,Encounters,265
1,23,2,RVUs,547.37
1,23,3,Encounters,321
1,23,3,RVUs,535.83
1,23,4,Encounters,206
1,23,4,RVUs,534.83
1,23,5,Encounters,360
1,23,5,RVUs,998.35
1,23,6,Encounters,282
1,23,6,RVUs,575.18
1,24,1,Encounters,109
1,24,1,RVUs,172.83
1,24,2,Encounters,103
1,24,2,RVUs,275.34
1,24,3,Encounters,97
1,24,3,RVUs,136.7
1,24,4,Encounters,121
1,24,4,RVUs,183.87
1,24,5,Encounters,109
1,24,5,RVUs,290.44
1,24,6,Encounters,83
1,24,6,RVUs,220.33
1,25,1,Encounters,299
1,25,1,RVUs,651.84
1,25,2,Encounters,239
1,25,2,RVUs,375.68
1,25,3,Encounters,355
1,25,3,RVUs,569.77
1,25,4,Encounters,323
1,25,4,RVUs,505.97
1,25,5,Encounters,308
1,25,5,RVUs,838.63
1,25,6,Encounters,306
1,25,6,RVUs,719.14
1,26,1,Encounters,216
1,26,1,RVUs,282.38
1,26,2,Encounters,194
1,26,2,RVUs,358.15
1,26,3,Encounters,214
1,26,3,RVUs,315.01
1,26,4,Encounters,181
1,26,4,RVUs,403.65
1,26,5,Encounters,232
1,26,5,RVUs,417.73
1,26,6,Encounters,140
1,26,6,RVUs,310.49
1,27,4,Encounters,1
1,27,4,RVUs,-1.7
1,27,5,Encounters,4
1,27,5,RVUs,2.09
1,28,1,Encounters,260
1,28,1,RVUs,670.58
1,28,2,Encounters,177
1,28,2,RVUs,460.04
1,28,3,Encounters,263
1,28,3,RVUs,376.46
1,28,4,Encounters,221
1,28,4,RVUs,407.87
1,28,5,Encounters,254
1,28,5,RVUs,512.48
1,28,6,Encounters,184
1,28,6,RVUs,534.94
1,29,1,Encounters,240
1,29,1,RVUs,371.88
1,29,2,Encounters,185
1,29,2,RVUs,461.36
1,29,3,Encounters,199
1,29,3,RVUs,371.62
1,29,4,Encounters,167
1,29,4,RVUs,345.84
1,29,5,Encounters,216
1,29,5,RVUs,286.92
1,29,6,Encounters,160
1,29,6,RVUs,288.59
1,30,1,Encounters,103
1,30,1,RVUs,157.83
1,30,2,Encounters,67
1,30,2,RVUs,165.62
1,30,3,Encounters,42
1,30,3,RVUs,72.88
1,30,4,Encounters,51
1,30,4,RVUs,133.89
1,30,5,Encounters,50
1,30,5,RVUs,117.8
1,30,6,Encounters,76
1,30,6,RVUs,174.03
2,1,1,Encounters,310
2,1,1,RVUs,1206.11
2,1,2,Encounters,210
2,1,2,RVUs,456.12
2,1,3,Encounters,334
2,1,3,RVUs,1300.02
2,1,4,Encounters,249
2,1,4,RVUs,821.3
2,1,5,Encounters,192
2,1,5,RVUs,484.78
2,1,6,Encounters,249
2,1,6,RVUs,639.98
3,1,1,Encounters,412
3,1,1,RVUs,1753.06
3,1,2,Encounters,351
3,1,2,RVUs,1238.56
3,1,3,Encounters,430
3,1,3,RVUs,1136.41
3,1,4,Encounters,432
3,1,4,RVUs,1627.92
3,1,5,Encounters,390
3,1,5,RVUs,1004.97
3,2,1,Encounters,471
3,2,1,RVUs,1207.01
3,2,2,Encounters,351
3,2,2,RVUs,1109.11
3,2,3,Encounters,460
3,2,3,RVUs,1743.83
3,2,4,Encounters,487
3,2,4,RVUs,1427.47
3,2,5,Encounters,595
3,2,5,RVUs,2038.43
3,2,6,Encounters,303
3,2,6,RVUs,843.19
3,3,1,Encounters,334
3,3,1,RVUs,1111.03
3,3,2,Encounters,226
3,3,2,RVUs,691.54
3,3,3,Encounters,340
3,3,3,RVUs,1151.25
3,3,4,Encounters,198
3,3,4,RVUs,724.5
3,3,5,Encounters,318
3,3,5,RVUs,1227.86
3,3,6,Encounters,279
3,3,6,RVUs,1141.48
3,4,1,Encounters,521
3,4,1,RVUs,2158.91
3,4,2,Encounters,350
3,4,2,RVUs,1319.1
3,4,3,Encounters,478
3,4,3,RVUs,1073.39
3,4,4,Encounters,290
3,4,4,RVUs,1126.62
3,4,5,Encounters,532
3,4,5,RVUs,1997.44
3,4,6,Encounters,412
3,4,6,RVUs,1419.56
3,5,1,Encounters,412
3,5,1,RVUs,1590.94
3,5,2,Encounters,400
3,5,2,RVUs,995.95
3,5,3,Encounters,373
3,5,3,RVUs,1080.23
3,5,4,Encounters,439
3,5,4,RVUs,989.58
3,5,5,Encounters,366
3,5,5,RVUs,1259.51
3,5,6,Encounters,246
3,5,6,RVUs,992.88
3,6,1,Encounters,500
3,6,1,RVUs,2092.29
3,6,2,Encounters,507
3,6,2,RVUs,2180.05
3,6,3,Encounters,486
3,6,3,RVUs,1836.73
3,6,4,Encounters,560
3,6,4,RVUs,2320.14
3,6,5,Encounters,375
3,6,5,RVUs,864.4
3,6,6,Encounters,590
3,6,6,RVUs,2424.01
3,7,1,Encounters,391
3,7,1,RVUs,1250.92
3,7,2,Encounters,251
3,7,2,RVUs,650.45
3,7,3,Encounters,429
3,7,3,RVUs,1532.24
3,7,4,Encounters,361
3,7,4,RVUs,1547.78
3,7,5,Encounters,376
3,7,5,RVUs,1485.18
3,7,6,Encounters,508
3,7,6,RVUs,1557.1
3,8,1,Encounters,184
3,8,1,RVUs,747.67
3,8,2,Encounters,171
3,8,2,RVUs,429.54
3,8,3,Encounters,214
3,8,3,RVUs,655.38
3,8,4,Encounters,134
3,8,4,RVUs,349.35
3,9,1,Encounters,223
3,9,1,RVUs,708.24
3,9,2,Encounters,300
3,9,2,RVUs,1046.17
3,9,3,Encounters,245
3,9,3,RVUs,716.28
3,9,4,Encounters,228
3,9,4,RVUs,761.74
3,9,5,Encounters,264
3,9,5,RVUs,1059.05
3,9,6,Encounters,159
3,9,6,RVUs,373.42
3,10,1,Encounters,367
3,10,1,RVUs,1156.31
3,10,2,Encounters,383
3,10,2,RVUs,1230.99
3,10,3,Encounters,379
3,10,3,RVUs,891.53
3,10,4,Encounters,302
3,10,4,RVUs,951.08
3,10,5,Encounters,491
3,10,5,RVUs,1293.52
3,10,6,Encounters,513
3,10,6,RVUs,1110.05
3,11,4,Encounters,1
3,11,4,RVUs,2.64
3,11,5,Encounters,0
3,11,5,RVUs,3.79
3,12,1,Encounters,320
3,12,1,RVUs,847.49
3,12,2,Encounters,244
3,12,2,RVUs,736.65
3,12,3,Encounters,354
3,12,3,RVUs,797.53
3,12,4,Encounters,179
3,12,4,RVUs,392.79
3,12,5,Encounters,393
3,12,5,RVUs,943.2
3,12,6,Encounters,406
3,12,6,RVUs,1755.22
3,13,1,Encounters,201
3,13,1,RVUs,641.95
3,13,2,Encounters,182
3,13,2,RVUs,416.85
3,13,3,Encounters,186
3,13,3,RVUs,418.73
3,13,4,Encounters,183
3,13,4,RVUs,580.61
3,13,5,Encounters,168
3,13,5,RVUs,570.81
3,14,1,Encounters,191
3,14,1,RVUs,620.43
3,14,2,Encounters,190
3,14,2,RVUs,487.42
3,14,3,Encounters,120
3,14,3,RVUs,402.75
3,14,4,Encounters,225
3,14,4,RVUs,828.38
3,14,5,Encounters,188
3,14,5,RVUs,477.05
3,14,6,Encounters,191
3,14,6,RVUs,529.49
3,15,1,Encounters,175
3,15,1,RVUs,699.34
3,15,2,Encounters,169
3,15,2,RVUs,562.8
3,15,3,Encounters,119
3,15,3,RVUs,413.86
3,15,4,Encounters,155
3,15,4,RVUs,444.37
3,15,5,Encounters,192
3,15,5,RVUs,660.53
3,15,6,Encounters,163
3,15,6,RVUs,567.03
3,16,1,Encounters,93
3,16,1,RVUs,245.26
3,16,2,Encounters,81
3,16,2,RVUs,223.08
3,16,3,Encounters,85
3,16,3,RVUs,181.68
3,16,4,Encounters,85
3,16,4,RVUs,304.78
3,16,5,Encounters,93
3,16,5,RVUs,330.98
3,16,6,Encounters,134
3,16,6,RVUs,347.56
3,17,1,Encounters,153
3,17,1,RVUs,513.49
3,17,2,Encounters,183
3,17,2,RVUs,513.08
3,17,3,Encounters,157
3,17,3,RVUs,466.3
3,17,4,Encounters,153
3,17,4,RVUs,440.37
3,17,5,Encounters,151
3,17,5,RVUs,632.93
3,17,6,Encounters,185
3,17,6,RVUs,722.5
3,18,1,Encounters,207
3,18,1,RVUs,871.32
3,18,2,Encounters,131
3,18,2,RVUs,442.03
3,18,3,Encounters,148
3,18,3,RVUs,358.93
3,18,4,Encounters,105
3,18,4,RVUs,406.68
3,18,5,Encounters,209
3,18,5,RVUs,484.94
3,18,6,Encounters,180
3,18,6,RVUs,608
3,19,1,Encounters,310
3,19,1,RVUs,1132.11
3,19,2,Encounters,420
3,19,2,RVUs,1250.63
3,19,3,Encounters,454
3,19,3,RVUs,1116.12
3,19,4,Encounters,357
3,19,4,RVUs,1062.75
3,19,5,Encounters,501
3,19,5,RVUs,1940.8
3,19,6,Encounters,500
3,19,6,RVUs,1779.12
4,1,1,Encounters,165
4,1,1,RVUs,322.34
4,1,2,Encounters,177
4,1,2,RVUs,241.62
4,1,3,Encounters,203
4,1,3,RVUs,285.79
4,1,4,Encounters,168
4,1,4,RVUs,268.94
4,1,5,Encounters,197
4,1,5,RVUs,558.85
4,1,6,Encounters,214
4,1,6,RVUs,350.82
4,2,1,Encounters,178
4,2,1,RVUs,332.56
4,2,2,Encounters,160
4,2,2,RVUs,355.15
4,2,3,Encounters,130
4,2,3,RVUs,310.58
4,2,4,Encounters,223
4,2,4,RVUs,594.81
4,2,5,Encounters,238
4,2,5,RVUs,361.15
4,2,6,Encounters,125
4,2,6,RVUs,210.84
4,3,1,Encounters,238
4,3,1,RVUs,383.2
4,3,2,Encounters,125
4,3,2,RVUs,308
4,3,3,Encounters,220
4,3,3,RVUs,401.5
4,3,4,Encounters,209
4,3,4,RVUs,502.94
4,3,5,Encounters,188
4,3,5,RVUs,512.77
4,3,6,Encounters,230
4,3,6,RVUs,534.74
4,4,1,Encounters,188
4,4,1,RVUs,366.81
4,4,2,Encounters,160
4,4,2,RVUs,312.06
4,4,3,Encounters,171
4,4,3,RVUs,368.1
4,4,4,Encounters,206
4,4,4,RVUs,334.05
4,4,5,Encounters,243
4,4,5,RVUs,416.14
4,4,6,Encounters,233
4,4,6,RVUs,364.26
4,5,1,Encounters,132
4,5,1,RVUs,296.8
4,5,2,Encounters,68
4,5,2,RVUs,118.75
4,5,3,Encounters,12
4,5,3,RVUs,31.82
4,5,4,Encounters,126
4,5,4,RVUs,328.88
4,5,5,Encounters,148
4,5,5,RVUs,289.57
4,5,6,Encounters,97
4,5,6,RVUs,174.6
4,6,1,Encounters,168
4,6,1,RVUs,329.34
4,6,2,Encounters,174
4,6,2,RVUs,395.54
4,6,3,Encounters,133
4,6,3,RVUs,358.63
4,6,4,Encounters,137
4,6,4,RVUs,360.55
4,6,5,Encounters,177
4,6,5,RVUs,301.1
4,6,6,Encounters,145
4,6,6,RVUs,290.66
4,7,1,Encounters,125
4,7,1,RVUs,180.75
4,7,2,Encounters,98
4,7,2,RVUs,135.86
4,7,3,Encounters,89
4,7,3,RVUs,118.08
4,7,4,Encounters,120
4,7,4,RVUs,228.22
4,7,5,Encounters,105
4,7,5,RVUs,211.29
4,7,6,Encounters,92
4,7,6,RVUs,246.04
4,8,5,Encounters,18
4,8,5,RVUs,54.64
4,9,1,Encounters,269
4,9,1,RVUs,535.86
4,9,2,Encounters,177
4,9,2,RVUs,404.63
4,9,3,Encounters,214
4,9,3,RVUs,458.02
4,9,4,Encounters,273
4,9,4,RVUs,698.63
4,9,5,Encounters,221
4,9,5,RVUs,526.23
4,9,6,Encounters,230
4,9,6,RVUs,398.76
4,10,1,Encounters,22
4,10,1,RVUs,66.39
4,10,2,Encounters,47
4,10,2,RVUs,135.82
4,10,3,Encounters,47
4,10,3,RVUs,77.4
4,10,4,Encounters,40
4,10,4,RVUs,80.82
4,10,5,Encounters,15
4,10,5,RVUs,28.13
4,10,6,Encounters,37
4,10,6,RVUs,77.11
4,11,1,Encounters,53
4,11,1,RVUs,108.09
4,11,2,Encounters,173
4,11,2,RVUs,509.1
4,11,3,Encounters,222
4,11,3,RVUs,380.58
4,11,4,Encounters,181
4,11,4,RVUs,334.16
4,11,5,Encounters,225
4,11,5,RVUs,396.12
4,11,6,Encounters,234
4,11,6,RVUs,320.71
4,12,1,Encounters,273
4,12,1,RVUs,577.79
4,12,2,Encounters,201
4,12,2,RVUs,385.4
4,12,3,Encounters,270
4,12,3,RVUs,706.31
4,12,4,Encounters,291
4,12,4,RVUs,832.67
4,12,5,Encounters,157
4,12,5,RVUs,378.57
4,12,6,Encounters,281
4,12,6,RVUs,748.97
4,13,1,Encounters,30
4,13,1,RVUs,40.23
4,13,2,Encounters,54
4,13,2,RVUs,103.91
4,13,3,Encounters,68
4,13,3,RVUs,138
4,13,4,Encounters,57
4,13,4,RVUs,153.51
4,13,5,Encounters,42
4,13,5,RVUs,107.63
4,13,6,Encounters,54
4,13,6,RVUs,143.44
4,14,1,Encounters,156
4,14,1,RVUs,371.42
4,14,2,Encounters,105
4,14,2,RVUs,180.36
4,14,3,Encounters,148
4,14,3,RVUs,387.14
4,14,4,Encounters,126
4,14,4,RVUs,271.01
4,14,5,Encounters,118
4,14,5,RVUs,296.4
4,14,6,Encounters,113
4,14,6,RVUs,300.42
4,15,1,Encounters,230
4,15,1,RVUs,308.85
4,15,2,Encounters,176
4,15,2,RVUs,412.63
4,15,3,Encounters,193
4,15,3,RVUs,330.08
4,15,4,Encounters,191
4,15,4,RVUs,492.96
4,15,5,Encounters,147
4,15,5,RVUs,424.47
4,15,6,Encounters,195
4,15,6,RVUs,477.09
4,16,1,Encounters,353
4,16,1,RVUs,792.75
4,16,2,Encounters,255
4,16,2,RVUs,573.8
4,16,3,Encounters,277
4,16,3,RVUs,448.51
4,16,4,Encounters,329
4,16,4,RVUs,562.28
4,16,5,Encounters,346
4,16,5,RVUs,954.38
4,16,6,Encounters,169
4,16,6,RVUs,379.01
4,17,1,Encounters,294
4,17,1,RVUs,421.06
4,17,2,Encounters,184
4,17,2,RVUs,244.35
4,17,3,Encounters,218
4,17,3,RVUs,489.89
4,17,4,Encounters,232
4,17,4,RVUs,567.4
4,17,5,Encounters,238
4,17,5,RVUs,539.63
4,17,6,Encounters,276
4,17,6,RVUs,686.38
4,18,1,Encounters,255
4,18,1,RVUs,615.47
4,18,2,Encounters,179
4,18,2,RVUs,363.18
4,18,3,Encounters,172
4,18,3,RVUs,496.68
4,18,4,Encounters,232
4,18,4,RVUs,623.97
4,18,5,Encounters,236
4,18,5,RVUs,328.43
4,18,6,Encounters,248
4,18,6,RVUs,655.58
4,19,1,Encounters,229
4,19,1,RVUs,534.85
4,19,2,Encounters,202
4,19,2,RVUs,419.06
4,19,3,Encounters,194
4,19,3,RVUs,545.06
4,19,4,Encounters,227
4,19,4,RVUs,552.24
4,19,5,Encounters,253
4,19,5,RVUs,388.22
4,19,6,Encounters,191
4,19,6,RVUs,545.5
4,20,1,Encounters,144
4,20,1,RVUs,410.09
4,20,2,Encounters,155
4,20,2,RVUs,224.18
4,20,3,Encounters,174
4,20,3,RVUs,313.66
4,20,4,Encounters,143
4,20,4,RVUs,306.54
4,20,5,Encounters,108
4,20,5,RVUs,284.82
4,20,6,Encounters,111
4,20,6,RVUs,161.48
4,21,1,Encounters,244
4,21,1,RVUs,341.25
4,21,2,Encounters,165
4,21,2,RVUs,262.15
4,21,3,Encounters,227
4,21,3,RVUs,350.38
4,21,4,Encounters,281
4,21,4,RVUs,379.6
4,21,5,Encounters,241
4,21,5,RVUs,383.13
4,21,6,Encounters,285
4,21,6,RVUs,499.36
4,22,1,Encounters,286
4,22,1,RVUs,564.31
4,22,2,Encounters,192
4,22,2,RVUs,465.94
4,22,3,Encounters,179
4,22,3,RVUs,473.14
4,22,4,Encounters,241
4,22,4,RVUs,477.8
4,22,5,Encounters,273
4,22,5,RVUs,790.65
4,22,6,Encounters,249
4,22,6,RVUs,649.93
4,23,1,Encounters,125
4,23,1,RVUs,351.57
4,23,2,Encounters,102
4,23,2,RVUs,232.26
4,23,3,Encounters,163
4,23,3,RVUs,296.61
4,23,4,Encounters,166
4,23,4,RVUs,460.75
4,23,5,Encounters,149
4,23,5,RVUs,287.78
4,23,6,Encounters,204
4,23,6,RVUs,538.1
4,24,1,Encounters,235
4,24,1,RVUs,591.17
4,24,2,Encounters,141
4,24,2,RVUs,359.03
4,24,3,Encounters,152
4,24,3,RVUs,279.9
4,24,4,Encounters,198
4,24,4,RVUs,315.08
4,24,5,Encounters,189
4,24,5,RVUs,486.96
4,24,6,Encounters,179
4,24,6,RVUs,345.14
4,25,1,Encounters,234
4,25,1,RVUs,507.87
4,25,2,Encounters,212
4,25,2,RVUs,451.25
4,25,3,Encounters,209
4,25,3,RVUs,509.25
4,25,4,Encounters,257
4,25,4,RVUs,721.19
4,25,5,Encounters,161
4,25,5,RVUs,259.56
4,25,6,Encounters,207
4,25,6,RVUs,370.23
4,26,1,Encounters,225
4,26,1,RVUs,381.07
4,26,2,Encounters,197
4,26,2,RVUs,357.33
4,26,3,Encounters,233
4,26,3,RVUs,457.75
4,26,4,Encounters,239
4,26,4,RVUs,379.56
4,26,5,Encounters,197
4,26,5,RVUs,555
4,26,6,Encounters,233
4,26,6,RVUs,544.11
4,27,1,Encounters,208
4,27,1,RVUs,420.42
4,27,2,Encounters,170
4,27,2,RVUs,251.59
4,27,3,Encounters,164
4,27,3,RVUs,304.65
4,27,4,Encounters,153
4,27,4,RVUs,426.81
4,27,5,Encounters,192
4,27,5,RVUs,450.77
4,27,6,Encounters,153
4,27,6,RVUs,337
4,28,1,Encounters,164
4,28,1,RVUs,356.56
4,28,2,Encounters,88
4,28,2,RVUs,242.96
4,28,3,Encounters,146
4,28,3,RVUs,269.06
4,28,4,Encounters,163
4,28,4,RVUs,268.27
4,28,5,Encounters,179
4,28,5,RVUs,452.5
4,28,6,Encounters,88
4,28,6,RVUs,135.17
4,29,1,Encounters,180
4,29,1,RVUs,343.58
4,29,2,Encounters,132
4,29,2,RVUs,253.31
4,29,3,Encounters,158
4,29,3,RVUs,266.68
4,29,4,Encounters,119
4,29,4,RVUs,264.88
4,29,5,Encounters,162
4,29,5,RVUs,283.91
4,29,6,Encounters,175
4,29,6,RVUs,309.2
4,30,1,Encounters,337
4,30,1,RVUs,799.98
4,30,2,Encounters,260
4,30,2,RVUs,731.59
4,30,3,Encounters,295
4,30,3,RVUs,634.85
4,30,4,Encounters,264
4,30,4,RVUs,347.93
4,30,5,Encounters,267
4,30,5,RVUs,383.73
4,30,6,Encounters,317
4,30,6,RVUs,717.94
4,31,1,Encounters,179
4,31,1,RVUs,405.56
4,31,2,Encounters,133
4,31,2,RVUs,251.98
4,31,3,Encounters,146
4,31,3,RVUs,312.11
4,31,4,Encounters,145
4,31,4,RVUs,220.88
4,31,5,Encounters,181
4,31,5,RVUs,375.8
4,31,6,Encounters,194
4,31,6,RVUs,501.33
4,32,1,Encounters,146
4,32,1,RVUs,258.86
4,32,2,Encounters,115
4,32,2,RVUs,161.58
4,32,3,Encounters,123
4,32,3,RVUs,333.73
4,32,4,Encounters,147
4,32,4,RVUs,298.47
4,32,5,Encounters,161
4,32,5,RVUs,297.61
4,32,6,Encounters,95
4,32,6,RVUs,262.28
4,33,1,Encounters,236
4,33,1,RVUs,589.01
4,33,2,Encounters,156
4,33,2,RVUs,323.29
4,33,3,Encounters,251
4,33,3,RVUs,418.53
4,33,4,Encounters,203
4,33,4,RVUs,519.03
4,33,5,Encounters,265
4,33,5,RVUs,645.32
4,33,6,Encounters,333
4,33,6,RVUs,454.34
4,34,1,Encounters,207
4,34,1,RVUs,505.9
4,34,2,Encounters,295
4,34,2,RVUs,820.3
4,34,3,Encounters,341
4,34,3,RVUs,606.67
4,34,4,Encounters,345
4,34,4,RVUs,895.54
4,34,5,Encounters,242
4,34,5,RVUs,316.49
4,34,6,Encounters,315
4,34,6,RVUs,698.19
4,35,1,Encounters,252
4,35,1,RVUs,670.58
4,35,2,Encounters,194
4,35,2,RVUs,542.19
4,35,3,Encounters,214
4,35,3,RVUs,291.57
4,35,4,Encounters,200
4,35,4,RVUs,432.35
4,35,5,Encounters,213
4,35,5,RVUs,563.71
4,35,6,Encounters,254
4,35,6,RVUs,401.11
4,36,1,Encounters,125
4,36,1,RVUs,257.96
4,36,2,Encounters,178
4,36,2,RVUs,277.21
4,36,3,Encounters,221
4,36,3,RVUs,591.17
4,36,4,Encounters,199
4,36,4,RVUs,542.23
4,36,5,Encounters,195
4,36,5,RVUs,548.46
4,36,6,Encounters,207
4,36,6,RVUs,591.51
4,37,1,Encounters,32
4,37,1,RVUs,61.14
4,37,2,Encounters,37
4,37,2,RVUs,77.88
4,37,3,Encounters,48
4,37,3,RVUs,132.92
