Practice ID,Provider ID,Observation Month,Variable,Value
1,6,1,Time Intake,66.76
1,6,1,Time Exam,1911.86
1,6,1,Time Signoff,35.06
1,6,1,Time Postvisit,893.84
1,6,2,Time Intake,73.04
1,6,2,Time Exam,1940.14
1,6,2,Time Signoff,44.51
1,6,2,Time Postvisit,869.52
1,6,3,Time Intake,38.23
1,6,3,Time Exam,2408.2
1,6,3,Time Signoff,58.34
1,6,3,Time Postvisit,1063.34
1,6,4,Time Intake,73.31
1,6,4,Time Exam,2468.07
1,6,4,Time Signoff,20.51
1,6,4,Time Postvisit,1153.73
1,6,5,Time Intake,49.63
1,6,5,Time Exam,2039.68
1,6,5,Time Signoff,47.16
1,6,5,Time Postvisit,989.83
1,6,6,Time Intake,68.27
1,6,6,Time Exam,2300.52
1,6,6,Time Signoff,42.28
1,6,6,Time Postvisit,1147.22
1,7,1,Time Intake,0
1,7,1,Time Exam,1974.61
1,7,1,Time Signoff,10.02
1,7,1,Time Postvisit,419.51
1,7,2,Time Intake,0
1,7,2,Time Exam,1622.3
1,7,2,Time Signoff,18.79
1,7,2,Time Postvisit,346.26
1,7,3,Time Intake,0
1,7,3,Time Exam,2056.19
1,7,3,Time Signoff,24.68
1,7,3,Time Postvisit,434.97
1,7,4,Time Intake,1.32
1,7,4,Time Exam,1799.71
1,7,4,Time Signoff,8.11
1,7,4,Time Postvisit,370.87
1,7,5,Time Intake,1.4
1,7,5,Time Exam,1598.61
1,7,5,Time Signoff,7.16
1,7,5,Time Postvisit,350.09
1,7,6,Time Intake,0
1,7,6,Time Exam,2090.95
1,7,6,Time Signoff,11.55
1,7,6,Time Postvisit,434.62
1,8,1,Time Intake,2.54
1,8,1,Time Exam,1580.39
1,8,1,Time Signoff,24.92
1,8,1,Time Postvisit,27.78
1,8,2,Time Intake,1.1
1,8,2,Time Exam,1153.63
1,8,2,Time Signoff,17.38
1,8,2,Time Postvisit,14.21
1,8,3,Time Intake,7.64
1,8,3,Time Exam,1224.8
1,8,3,Time Signoff,17.59
1,8,3,Time Postvisit,8.98
1,8,4,Time Intake,4.77
1,8,4,Time Exam,1619.8
1,8,4,Time Signoff,22.4
1,8,4,Time Postvisit,14.11
1,8,5,Time Intake,1.38
1,8,5,Time Exam,1316.75
1,8,5,Time Signoff,16.53
1,8,5,Time Postvisit,21.61
1,8,6,Time Intake,1.83
1,8,6,Time Exam,1299.2
1,8,6,Time Signoff,16.11
1,8,6,Time Postvisit,19.48
1,9,1,Time Intake,0
1,9,1,Time Exam,763.59
1,9,1,Time Signoff,0.58
1,9,1,Time Postvisit,81.05
1,9,2,Time Intake,5.19
1,9,2,Time Exam,365.83
1,9,2,Time Signoff,0.5
1,9,2,Time Postvisit,73.58
1,9,3,Time Intake,0
1,9,3,Time Exam,576.2
1,9,3,Time Signoff,0.44
1,9,3,Time Postvisit,184.21
1,9,4,Time Intake,0.61
1,9,4,Time Exam,552.84
1,9,4,Time Signoff,2.16
1,9,4,Time Postvisit,165.09
1,9,5,Time Intake,0
1,9,5,Time Exam,643.16
1,9,5,Time Signoff,1.76
1,9,5,Time Postvisit,52.62
1,9,6,Time Intake,0
1,9,6,Time Exam,415.95
1,9,6,Time Signoff,0.69
1,9,6,Time Postvisit,50.17
1,10,1,Time Intake,8.21
1,10,1,Time Exam,1298.18
1,10,1,Time Signoff,71.27
1,10,1,Time Postvisit,150.48
1,10,2,Time Intake,8.22
1,10,2,Time Exam,965.27
1,10,2,Time Signoff,44.75
1,10,2,Time Postvisit,81.24
1,10,3,Time Intake,4.67
1,10,3,Time Exam,1084.58
1,10,3,Time Signoff,52.07
1,10,3,Time Postvisit,104.14
1,10,4,Time Intake,28.49
1,10,4,Time Exam,1423.03
1,10,4,Time Signoff,54.41
1,10,4,Time Postvisit,114.63
1,10,5,Time Intake,12.46
1,10,5,Time Exam,1070.11
1,10,5,Time Signoff,47.43
1,10,5,Time Postvisit,87.77
1,10,6,Time Intake,12.56
1,10,6,Time Exam,1137.73
1,10,6,Time Signoff,52.37
1,10,6,Time Postvisit,73.74
1,11,1,Time Intake,1.11
1,11,1,Time Exam,1663.85
1,11,1,Time Signoff,119.23
1,11,1,Time Postvisit,65.59
1,11,2,Time Intake,0.75
1,11,2,Time Exam,1385.82
1,11,2,Time Signoff,102.49
1,11,2,Time Postvisit,24.46
1,11,3,Time Intake,1.3
1,11,3,Time Exam,1766.75
1,11,3,Time Signoff,104.14
1,11,3,Time Postvisit,25.53
1,11,4,Time Intake,0.43
1,11,4,Time Exam,1452.56
1,11,4,Time Signoff,72.95
1,11,4,Time Postvisit,27.44
1,11,5,Time Intake,0.19
1,11,5,Time Exam,1833.24
1,11,5,Time Signoff,89.37
1,11,5,Time Postvisit,62.17
1,11,6,Time Intake,0.15
1,11,6,Time Exam,1319.92
1,11,6,Time Signoff,72.82
1,11,6,Time Postvisit,23.31
1,12,1,Time Intake,0
1,12,1,Time Exam,1827.9
1,12,1,Time Signoff,41.29
1,12,1,Time Postvisit,245.96
1,13,1,Time Intake,13.37
1,13,1,Time Exam,1980.99
1,13,1,Time Signoff,68.94
1,13,1,Time Postvisit,400.77
1,13,2,Time Intake,0
1,13,2,Time Exam,1292.88
1,13,2,Time Signoff,78.67
1,13,2,Time Postvisit,263.06
1,13,3,Time Intake,4.38
1,13,3,Time Exam,1718.6
1,13,3,Time Signoff,74.62
1,13,3,Time Postvisit,357.04
1,13,4,Time Intake,0
1,13,4,Time Exam,1580.47
1,13,4,Time Signoff,45.17
1,13,4,Time Postvisit,414.3
1,13,5,Time Intake,4.56
1,13,5,Time Exam,1357.04
1,13,5,Time Signoff,42.54
1,13,5,Time Postvisit,420.55
1,13,6,Time Intake,0
1,13,6,Time Exam,1980
1,13,6,Time Signoff,45.53
1,13,6,Time Postvisit,546.4
1,14,1,Time Intake,0
1,14,1,Time Exam,255.13
1,14,1,Time Signoff,0.13
1,14,1,Time Postvisit,489.18
1,14,2,Time Intake,2.12
1,14,2,Time Exam,215.92
1,14,2,Time Signoff,0.36
1,14,2,Time Postvisit,330.37
1,14,3,Time Intake,0.8
1,14,3,Time Exam,109.59
1,14,3,Time Signoff,5.28
1,14,3,Time Postvisit,228.61
1,14,4,Time Intake,6.3
1,14,4,Time Exam,236.5
1,14,4,Time Signoff,1.34
1,14,4,Time Postvisit,444.85
1,14,5,Time Intake,0.33
1,14,5,Time Exam,212.48
1,14,5,Time Signoff,0.96
1,14,5,Time Postvisit,447.03
1,14,6,Time Intake,2.89
1,14,6,Time Exam,177.77
1,14,6,Time Signoff,0.16
1,14,6,Time Postvisit,369.76
1,15,1,Time Intake,0.77
1,15,1,Time Exam,1667.62
1,15,1,Time Signoff,62.68
1,15,1,Time Postvisit,149.63
1,15,2,Time Intake,8.7
1,15,2,Time Exam,1311.43
1,15,2,Time Signoff,49.23
1,15,2,Time Postvisit,156.97
1,15,3,Time Intake,0.45
1,15,3,Time Exam,1387.33
1,15,3,Time Signoff,55.17
1,15,3,Time Postvisit,129.96
1,15,4,Time Intake,5.43
1,15,4,Time Exam,1169.97
1,15,4,Time Signoff,48.3
1,15,4,Time Postvisit,110.82
1,15,5,Time Intake,1.3
1,15,5,Time Exam,1644.04
1,15,5,Time Signoff,67.27
1,15,5,Time Postvisit,109.38
1,15,6,Time Intake,2.74
1,15,6,Time Exam,1546.37
1,15,6,Time Signoff,60.84
1,15,6,Time Postvisit,138.18
1,16,1,Time Intake,15.96
1,16,1,Time Exam,1634.02
1,16,1,Time Signoff,34.11
1,16,1,Time Postvisit,210.7
1,16,2,Time Intake,2.98
1,16,2,Time Exam,1487.13
1,16,2,Time Signoff,41.36
1,16,2,Time Postvisit,303.55
1,16,3,Time Intake,7.62
1,16,3,Time Exam,1704.51
1,16,3,Time Signoff,36.53
1,16,3,Time Postvisit,274.02
1,16,4,Time Intake,32.1
1,16,4,Time Exam,2067.55
1,16,4,Time Signoff,60.06
1,16,4,Time Postvisit,399.04
1,16,5,Time Intake,15.77
1,16,5,Time Exam,2007.4
1,16,5,Time Signoff,28.12
1,16,5,Time Postvisit,441.74
1,16,6,Time Intake,12.3
1,16,6,Time Exam,2077.08
1,16,6,Time Signoff,40.22
1,16,6,Time Postvisit,544.4
1,17,1,Time Intake,0
1,17,1,Time Exam,1651.2
1,17,1,Time Signoff,0.6
1,17,1,Time Postvisit,848.93
1,17,2,Time Intake,0
1,17,2,Time Exam,1528.31
1,17,2,Time Signoff,0.18
1,17,2,Time Postvisit,842.22
1,17,3,Time Intake,0
1,17,3,Time Exam,1473.22
1,17,3,Time Signoff,5.54
1,17,3,Time Postvisit,659.99
1,17,4,Time Intake,0
1,17,4,Time Exam,1767.36
1,17,4,Time Signoff,3.78
1,17,4,Time Postvisit,741.1
1,17,5,Time Intake,0
1,17,5,Time Exam,2028.24
1,17,5,Time Signoff,9.42
1,17,5,Time Postvisit,1020.74
1,17,6,Time Intake,15.43
1,17,6,Time Exam,1783.56
1,17,6,Time Signoff,0.34
1,17,6,Time Postvisit,1026.11
1,18,1,Time Intake,0
1,18,1,Time Exam,171.61
1,18,1,Time Signoff,15.83
1,18,1,Time Postvisit,20.7
1,18,2,Time Intake,0
1,18,2,Time Exam,211.5
1,18,2,Time Signoff,11.52
1,18,2,Time Postvisit,47.64
1,18,3,Time Intake,0
1,18,3,Time Exam,305.35
1,18,3,Time Signoff,14.1
1,18,3,Time Postvisit,34.52
1,18,4,Time Intake,1.12
1,18,4,Time Exam,259.83
1,18,4,Time Signoff,16.84
1,18,4,Time Postvisit,16.8
1,18,5,Time Intake,0
1,18,5,Time Exam,195.74
1,18,5,Time Signoff,8.13
1,18,5,Time Postvisit,31.79
1,18,6,Time Intake,0
1,18,6,Time Exam,182.58
1,18,6,Time Signoff,7.32
1,18,6,Time Postvisit,41.24
1,19,1,Time Intake,4.71
1,19,1,Time Exam,874.18
1,19,1,Time Signoff,6.54
1,19,1,Time Postvisit,197.6
1,19,2,Time Intake,0.62
1,19,2,Time Exam,764.38
1,19,2,Time Signoff,10.65
1,19,2,Time Postvisit,190.98
1,19,3,Time Intake,1.63
1,19,3,Time Exam,1301.54
1,19,3,Time Signoff,17.54
1,19,3,Time Postvisit,292
1,19,4,Time Intake,4.79
1,19,4,Time Exam,887.78
1,19,4,Time Signoff,8.94
1,19,4,Time Postvisit,155.31
1,19,5,Time Intake,4.85
1,19,5,Time Exam,1167.37
1,19,5,Time Signoff,9.26
1,19,5,Time Postvisit,224.44
1,19,6,Time Intake,0.69
1,19,6,Time Exam,1197.54
1,19,6,Time Signoff,21.44
1,19,6,Time Postvisit,308.25
1,20,1,Time Intake,0
1,20,1,Time Exam,102.03
1,20,1,Time Signoff,0.66
1,20,1,Time Postvisit,138.61
1,20,2,Time Intake,0
1,20,2,Time Exam,97.1
1,20,2,Time Signoff,2.73
1,20,2,Time Postvisit,47.73
1,20,3,Time Intake,2.33
1,20,3,Time Exam,93.73
1,20,3,Time Signoff,4.12
1,20,3,Time Postvisit,130.15
1,20,4,Time Intake,0.18
1,20,4,Time Exam,83.45
1,20,4,Time Signoff,3.18
1,20,4,Time Postvisit,51.05
1,20,5,Time Intake,0.07
1,20,5,Time Exam,50.33
1,20,5,Time Signoff,1.62
1,20,5,Time Postvisit,46.34
1,20,6,Time Intake,0
1,20,6,Time Exam,109.59
1,20,6,Time Signoff,4.89
1,20,6,Time Postvisit,105.53
1,21,1,Time Intake,13.15
1,21,1,Time Exam,183.31
1,21,1,Time Signoff,14.66
1,21,1,Time Postvisit,656.47
1,21,2,Time Intake,8.5
1,21,2,Time Exam,285.42
1,21,2,Time Signoff,4.82
1,21,2,Time Postvisit,634.22
1,21,3,Time Intake,21.41
1,21,3,Time Exam,257.12
1,21,3,Time Signoff,12.18
1,21,3,Time Postvisit,921.99
1,21,4,Time Intake,1.82
1,21,4,Time Exam,226.2
1,21,4,Time Signoff,2.83
1,21,4,Time Postvisit,744.5
1,21,5,Time Intake,9.43
1,21,5,Time Exam,157.12
1,21,5,Time Signoff,23.77
1,21,5,Time Postvisit,583.96
1,21,6,Time Intake,8.56
1,21,6,Time Exam,257.74
1,21,6,Time Signoff,55.56
1,21,6,Time Postvisit,739.44
1,22,1,Time Intake,0
1,22,1,Time Exam,1310.63
1,22,1,Time Signoff,4.29
1,22,1,Time Postvisit,185.75
1,22,2,Time Intake,0.63
1,22,2,Time Exam,1233.62
1,22,2,Time Signoff,6.67
1,22,2,Time Postvisit,156.43
1,22,3,Time Intake,0
1,22,3,Time Exam,1281.52
1,22,3,Time Signoff,6.99
1,22,3,Time Postvisit,162.29
1,22,4,Time Intake,0
1,22,4,Time Exam,1032.51
1,22,4,Time Signoff,3.74
1,22,4,Time Postvisit,133.86
1,22,5,Time Intake,0
1,22,5,Time Exam,1335.52
1,22,5,Time Signoff,7.69
1,22,5,Time Postvisit,125.52
1,22,6,Time Intake,0
1,22,6,Time Exam,1228.92
1,22,6,Time Signoff,7.47
1,22,6,Time Postvisit,176.37
1,23,1,Time Intake,0
1,23,1,Time Exam,708.34
1,23,1,Time Signoff,0.79
1,23,1,Time Postvisit,1136
1,23,2,Time Intake,0
1,23,2,Time Exam,608.13
1,23,2,Time Signoff,2.02
1,23,2,Time Postvisit,1015.25
1,23,3,Time Intake,0.13
1,23,3,Time Exam,840.57
1,23,3,Time Signoff,0.74
1,23,3,Time Postvisit,1210.5
1,23,4,Time Intake,0
1,23,4,Time Exam,596.06
1,23,4,Time Signoff,1.19
1,23,4,Time Postvisit,684.09
1,23,5,Time Intake,0.25
1,23,5,Time Exam,813.16
1,23,5,Time Signoff,0.61
1,23,5,Time Postvisit,1123.53
1,23,6,Time Intake,0
1,23,6,Time Exam,703.41
1,23,6,Time Signoff,1.05
1,23,6,Time Postvisit,1059.99
1,24,1,Time Intake,0
1,24,1,Time Exam,363.2
1,24,1,Time Signoff,10.7
1,24,1,Time Postvisit,400.08
1,24,2,Time Intake,0
1,24,2,Time Exam,390.18
1,24,2,Time Signoff,8.03
1,24,2,Time Postvisit,417.59
1,24,3,Time Intake,2.87
1,24,3,Time Exam,351.7
1,24,3,Time Signoff,9.56
1,24,3,Time Postvisit,439.82
1,24,4,Time Intake,8.03
1,24,4,Time Exam,414.34
1,24,4,Time Signoff,12.83
1,24,4,Time Postvisit,516.07
1,24,5,Time Intake,10.05
1,24,5,Time Exam,425.54
1,24,5,Time Signoff,14.26
1,24,5,Time Postvisit,346.72
1,24,6,Time Intake,5
1,24,6,Time Exam,377.33
1,24,6,Time Signoff,10.54
1,24,6,Time Postvisit,374.23
1,25,1,Time Intake,10.21
1,25,1,Time Exam,1235.78
1,25,1,Time Signoff,11.94
1,25,1,Time Postvisit,330.33
1,25,2,Time Intake,3.32
1,25,2,Time Exam,962.02
1,25,2,Time Signoff,8.72
1,25,2,Time Postvisit,203.54
1,25,3,Time Intake,24.83
1,25,3,Time Exam,1654.14
1,25,3,Time Signoff,5.9
1,25,3,Time Postvisit,265.95
1,25,4,Time Intake,25.3
1,25,4,Time Exam,1514.32
1,25,4,Time Signoff,4.74
1,25,4,Time Postvisit,343.02
1,25,5,Time Intake,4
1,25,5,Time Exam,1450
1,25,5,Time Signoff,4.53
1,25,5,Time Postvisit,246.69
1,25,6,Time Intake,3.28
1,25,6,Time Exam,1467.56
1,25,6,Time Signoff,6.22
1,25,6,Time Postvisit,314.56
1,26,1,Time Intake,1.59
1,26,1,Time Exam,1834.17
1,26,1,Time Signoff,53.72
1,26,1,Time Postvisit,335.86
1,26,2,Time Intake,47.48
1,26,2,Time Exam,1918.76
1,26,2,Time Signoff,20.79
1,26,2,Time Postvisit,384.47
1,26,3,Time Intake,0.41
1,26,3,Time Exam,2131.24
1,26,3,Time Signoff,27.38
1,26,3,Time Postvisit,465.51
1,26,4,Time Intake,0
1,26,4,Time Exam,1618.92
1,26,4,Time Signoff,36.54
1,26,4,Time Postvisit,337.2
1,26,5,Time Intake,9.31
1,26,5,Time Exam,2119.64
1,26,5,Time Signoff,31.88
1,26,5,Time Postvisit,263.48
1,26,6,Time Intake,0
1,26,6,Time Exam,1456.36
1,26,6,Time Signoff,25.73
1,26,6,Time Postvisit,127.9
1,27,4,Time Intake,6.12
1,27,4,Time Exam,29.34
1,27,4,Time Signoff,0
1,27,4,Time Postvisit,0.07
1,27,5,Time Intake,0
1,27,5,Time Exam,15.52
1,27,5,Time Signoff,0.98
1,27,5,Time Postvisit,0
1,28,1,Time Intake,9.49
1,28,1,Time Exam,1223.31
1,28,1,Time Signoff,19
1,28,1,Time Postvisit,1928.84
1,28,2,Time Intake,0.4
1,28,2,Time Exam,992.63
1,28,2,Time Signoff,43.96
1,28,2,Time Postvisit,1895.37
1,28,3,Time Intake,14.73
1,28,3,Time Exam,1038.8
1,28,3,Time Signoff,35.67
1,28,3,Time Postvisit,2220.14
1,28,4,Time Intake,7.72
1,28,4,Time Exam,1392
1,28,4,Time Signoff,69.75
1,28,4,Time Postvisit,2085.64
1,28,5,Time Intake,20.75
1,28,5,Time Exam,1409.93
1,28,5,Time Signoff,79.21
1,28,5,Time Postvisit,2664.3
1,28,6,Time Intake,5.6
1,28,6,Time Exam,1104.93
1,28,6,Time Signoff,62.89
1,28,6,Time Postvisit,2239.58
1,29,1,Time Intake,0
1,29,1,Time Exam,1167.96
1,29,1,Time Signoff,43.22
1,29,1,Time Postvisit,646.33
1,29,2,Time Intake,4.2
1,29,2,Time Exam,972.47
1,29,2,Time Signoff,21.75
1,29,2,Time Postvisit,602.23
1,29,3,Time Intake,4.15
1,29,3,Time Exam,1013.18
1,29,3,Time Signoff,17.79
1,29,3,Time Postvisit,563.9
1,29,4,Time Intake,0
1,29,4,Time Exam,811.21
1,29,4,Time Signoff,18.38
1,29,4,Time Postvisit,423.69
1,29,5,Time Intake,0
1,29,5,Time Exam,1074.29
1,29,5,Time Signoff,31.44
1,29,5,Time Postvisit,701.94
1,29,6,Time Intake,0
1,29,6,Time Exam,881.33
1,29,6,Time Signoff,22.17
1,29,6,Time Postvisit,473.64
1,30,1,Time Intake,18.04
1,30,1,Time Exam,1063.97
1,30,1,Time Signoff,62.74
1,30,1,Time Postvisit,138.36
1,30,2,Time Intake,0
1,30,2,Time Exam,524.1
1,30,2,Time Signoff,19.87
1,30,2,Time Postvisit,102.52
1,30,3,Time Intake,0
1,30,3,Time Exam,342.57
1,30,3,Time Signoff,12.88
1,30,3,Time Postvisit,54.9
1,30,4,Time Intake,0
1,30,4,Time Exam,384.56
1,30,4,Time Signoff,9.67
1,30,4,Time Postvisit,163.72
1,30,5,Time Intake,0
1,30,5,Time Exam,649.84
1,30,5,Time Signoff,20.16
1,30,5,Time Postvisit,111.63
1,30,6,Time Intake,0
1,30,6,Time Exam,605.46
1,30,6,Time Signoff,22.65
1,30,6,Time Postvisit,129.37
2,1,1,Time Intake,9.13
2,1,1,Time Exam,2202.7
2,1,1,Time Signoff,35.44
2,1,1,Time Postvisit,16.81
2,1,2,Time Intake,0
2,1,2,Time Exam,1618.19
2,1,2,Time Signoff,24.17
2,1,2,Time Postvisit,29.23
2,1,3,Time Intake,9.11
2,1,3,Time Exam,2329.95
2,1,3,Time Signoff,31.58
2,1,3,Time Postvisit,38.72
2,1,4,Time Intake,2.9
2,1,4,Time Exam,1845.51
2,1,4,Time Signoff,17.83
2,1,4,Time Postvisit,61.69
2,1,5,Time Intake,0
2,1,5,Time Exam,1349.14
2,1,5,Time Signoff,9.46
2,1,5,Time Postvisit,40.82
2,1,6,Time Intake,23.08
2,1,6,Time Exam,1629.28
2,1,6,Time Signoff,10.9
2,1,6,Time Postvisit,57.76
3,1,1,Time Intake,3.25
3,1,1,Time Exam,413.76
3,1,1,Time Signoff,16.74
3,1,1,Time Postvisit,1.8
3,1,2,Time Intake,0.65
3,1,2,Time Exam,336.48
3,1,2,Time Signoff,13.73
3,1,2,Time Postvisit,2.86
3,1,3,Time Intake,6.4
3,1,3,Time Exam,433.62
3,1,3,Time Signoff,13.49
3,1,3,Time Postvisit,1.2
3,1,4,Time Intake,0
3,1,4,Time Exam,431.93
3,1,4,Time Signoff,22.64
3,1,4,Time Postvisit,23.57
3,1,5,Time Intake,0
3,1,5,Time Exam,353.68
3,1,5,Time Signoff,13.22
3,1,5,Time Postvisit,3.24
3,2,1,Time Intake,6.76
3,2,1,Time Exam,520.65
3,2,1,Time Signoff,43.59
3,2,1,Time Postvisit,0.85
3,2,2,Time Intake,6.32
3,2,2,Time Exam,297.61
3,2,2,Time Signoff,24.59
3,2,2,Time Postvisit,3.05
3,2,3,Time Intake,4.91
3,2,3,Time Exam,451.93
3,2,3,Time Signoff,39.26
3,2,3,Time Postvisit,2.06
3,2,4,Time Intake,0.95
3,2,4,Time Exam,436.5
3,2,4,Time Signoff,39.2
3,2,4,Time Postvisit,0.73
3,2,5,Time Intake,0.07
3,2,5,Time Exam,601.98
3,2,5,Time Signoff,44.35
3,2,5,Time Postvisit,2.71
3,2,6,Time Intake,0
3,2,6,Time Exam,296.18
3,2,6,Time Signoff,25.15
3,2,6,Time Postvisit,2.48
3,3,1,Time Intake,0.64
3,3,1,Time Exam,194.02
3,3,1,Time Signoff,6.62
3,3,1,Time Postvisit,77.34
3,3,2,Time Intake,1.63
3,3,2,Time Exam,106.23
3,3,2,Time Signoff,10.35
3,3,2,Time Postvisit,55.26
3,3,3,Time Intake,7.46
3,3,3,Time Exam,164.74
3,3,3,Time Signoff,7.24
3,3,3,Time Postvisit,74.2
3,3,4,Time Intake,1
3,3,4,Time Exam,87.53
3,3,4,Time Signoff,3.32
3,3,4,Time Postvisit,48.68
3,3,5,Time Intake,3.6
3,3,5,Time Exam,147.9
3,3,5,Time Signoff,7.02
3,3,5,Time Postvisit,66.87
3,3,6,Time Intake,2.07
3,3,6,Time Exam,95.2
3,3,6,Time Signoff,7.06
3,3,6,Time Postvisit,62.45
3,4,1,Time Intake,1.1
3,4,1,Time Exam,390.18
3,4,1,Time Signoff,33.27
3,4,1,Time Postvisit,10.42
3,4,2,Time Intake,6.2
3,4,2,Time Exam,262.52
3,4,2,Time Signoff,26.83
3,4,2,Time Postvisit,6.17
3,4,3,Time Intake,1.34
3,4,3,Time Exam,340.25
3,4,3,Time Signoff,27.79
3,4,3,Time Postvisit,4.24
3,4,4,Time Intake,2.34
3,4,4,Time Exam,195.39
3,4,4,Time Signoff,14.31
3,4,4,Time Postvisit,6.23
3,4,5,Time Intake,15.9
3,4,5,Time Exam,381.46
3,4,5,Time Signoff,33.1
3,4,5,Time Postvisit,17.49
3,4,6,Time Intake,2.24
3,4,6,Time Exam,254.97
3,4,6,Time Signoff,25.31
3,4,6,Time Postvisit,10.09
3,5,1,Time Intake,0.35
3,5,1,Time Exam,420.25
3,5,1,Time Signoff,15.22
3,5,1,Time Postvisit,28.56
3,5,2,Time Intake,0.07
3,5,2,Time Exam,324.19
3,5,2,Time Signoff,11.54
3,5,2,Time Postvisit,40.28
3,5,3,Time Intake,0.55
3,5,3,Time Exam,339.62
3,5,3,Time Signoff,18.76
3,5,3,Time Postvisit,25.73
3,5,4,Time Intake,0.91
3,5,4,Time Exam,338.55
3,5,4,Time Signoff,17.72
3,5,4,Time Postvisit,32.47
3,5,5,Time Intake,0.17
3,5,5,Time Exam,282.32
3,5,5,Time Signoff,13.74
3,5,5,Time Postvisit,13.92
3,5,6,Time Intake,0.49
3,5,6,Time Exam,208.97
3,5,6,Time Signoff,9.64
3,5,6,Time Postvisit,24.79
3,6,1,Time Intake,10.08
3,6,1,Time Exam,225.37
3,6,1,Time Signoff,25.69
3,6,1,Time Postvisit,8.33
3,6,2,Time Intake,3.71
3,6,2,Time Exam,215.99
3,6,2,Time Signoff,23.54
3,6,2,Time Postvisit,9.1
3,6,3,Time Intake,2.88
3,6,3,Time Exam,180.52
